model,data_num,iter,side_effect,test_fold,auc,,acc,,precision,,recall,,tn,fp,fn,tp,cutoff point
RF,400,0,side_effect_1,0,0.733431208,,0.689265537,,0.298507463,,0.714285714,,204,94,16,40,0.24
RF,400,0,side_effect_1,1,0.757719638,,0.685534591,,0.346153846,,0.75,,173,85,15,45,0.19
RF,400,0,side_effect_1,2,0.692293907,,0.778761062,,0.402597403,,0.516666667,,233,46,29,31,0.27
RF,400,0,side_effect_1,3,0.723618748,,0.738461538,,0.354166667,,0.596491228,,206,62,23,34,0.21
RF,400,0,side_effect_1,4,0.836491169,,0.786377709,,0.509433962,,0.76056338,,200,52,17,54,0.18
RF,400,1,side_effect_1,0,0.712736226,,0.744868035,,0.323232323,,0.615384615,,222,67,20,32,0.25
RF,400,1,side_effect_1,1,0.746062992,,0.666666667,,0.355072464,,0.731343284,,165,89,18,49,0.19
RF,400,1,side_effect_1,2,0.806579969,,0.71686747,,0.3515625,,0.803571429,,193,83,11,45,0.2
RF,400,1,side_effect_1,3,0.786674743,,0.645768025,,0.348101266,,0.846153846,,151,103,10,55,0.15
RF,400,1,side_effect_1,4,0.747617465,,0.641618497,,0.317073171,,0.8125,,170,112,12,52,0.15
RF,400,2,side_effect_1,0,0.710329194,,0.608024691,,0.283950617,,0.807017544,,151,116,11,46,0.15
RF,400,2,side_effect_1,1,0.778899257,,0.68404908,,0.335820896,,0.762711864,,178,89,14,45,0.24
RF,400,2,side_effect_1,2,0.752552406,,0.797101449,,0.472972973,,0.53030303,,240,39,31,35,0.31
RF,400,2,side_effect_1,3,0.711188005,,0.761437908,,0.365853659,,0.588235294,,203,52,21,30,0.24
RF,400,2,side_effect_1,4,0.81726947,,0.818435754,,0.533333333,,0.676056338,,245,42,23,48,0.26
RF,400,3,side_effect_1,0,0.723509707,,0.693009119,,0.293103448,,0.641509434,,194,82,19,34,0.23
RF,400,3,side_effect_1,1,0.699295733,,0.650887574,,0.300699301,,0.704918033,,177,100,18,43,0.17
RF,400,3,side_effect_1,2,0.794765761,,0.760252366,,0.47,,0.671428571,,194,53,23,47,0.23
RF,400,3,side_effect_1,3,0.804272964,,0.760606061,,0.362745098,,0.725490196,,214,65,14,37,0.2
RF,400,3,side_effect_1,4,0.759189246,,0.686956522,,0.363636364,,0.753623188,,185,91,17,52,0.2
RF,400,4,side_effect_1,0,0.731427103,,0.642201835,,0.257142857,,0.734693878,,174,104,13,36,0.2
RF,400,4,side_effect_1,1,0.747702113,,0.59202454,,0.273255814,,0.854545455,,146,125,8,47,0.18
RF,400,4,side_effect_1,2,0.770588235,,0.68597561,,0.374100719,,0.764705882,,173,87,16,52,0.15
RF,400,4,side_effect_1,3,0.736913357,,0.681681682,,0.3046875,,0.696428571,,188,89,17,39,0.23
RF,400,4,side_effect_1,4,0.775092937,,0.739130435,,0.443548387,,0.723684211,,200,69,21,55,0.21
RF,400,5,side_effect_1,0,0.770113032,,0.696531792,,0.348148148,,0.734375,,194,88,17,47,0.19
RF,400,5,side_effect_1,1,0.723780765,,0.60625,,0.283870968,,0.745762712,,150,111,15,44,0.16
RF,400,5,side_effect_1,2,0.708532395,,0.75,,0.261363636,,0.56097561,,226,65,18,23,0.26
RF,400,5,side_effect_1,3,0.799213944,,0.740963855,,0.415254237,,0.742424242,,197,69,17,49,0.25
RF,400,5,side_effect_1,4,0.772946476,,0.765957447,,0.484848485,,0.648648649,,204,51,26,48,0.23
RF,400,6,side_effect_1,0,0.717997575,,0.665625,,0.360294118,,0.710144928,,164,87,20,49,0.17
RF,400,6,side_effect_1,1,0.786470144,,0.645833333,,0.329268293,,0.857142857,,163,110,9,54,0.2
RF,400,6,side_effect_1,2,0.783494971,,0.757225434,,0.375,,0.672413793,,223,65,19,39,0.23
RF,400,6,side_effect_1,3,0.713892331,,0.764705882,,0.3625,,0.537037037,,218,51,25,29,0.29
RF,400,6,side_effect_1,4,0.766484185,,0.751497006,,0.388349515,,0.666666667,,211,63,20,40,0.23
RF,400,7,side_effect_1,0,0.756825397,,0.750769231,,0.308510638,,0.644444444,,215,65,16,29,0.2
RF,400,7,side_effect_1,1,0.772588523,,0.699690402,,0.362903226,,0.714285714,,181,79,18,45,0.22
RF,400,7,side_effect_1,2,0.809944111,,0.65408805,,0.32,,0.857142857,,160,102,8,48,0.15
RF,400,7,side_effect_1,3,0.682466394,,0.759312321,,0.341772152,,0.457627119,,238,52,32,27,0.28
RF,400,7,side_effect_1,4,0.792799136,,0.715116279,,0.440559441,,0.777777778,,183,80,18,63,0.22
RF,400,8,side_effect_1,0,0.711907527,,0.742857143,,0.35483871,,0.523809524,,227,60,30,33,0.23
RF,400,8,side_effect_1,1,0.818587306,,0.784126984,,0.413043478,,0.730769231,,209,54,14,38,0.24
RF,400,8,side_effect_1,2,0.790431,,0.712209302,,0.365671642,,0.777777778,,196,85,14,49,0.2
RF,400,8,side_effect_1,3,0.747114936,,0.56875,,0.278688525,,0.894736842,,131,132,6,51,0.13
RF,400,8,side_effect_1,4,0.743711478,,0.751515152,,0.428571429,,0.565217391,,209,52,30,39,0.21
RF,400,9,side_effect_1,0,0.694154125,,0.521341463,,0.22513089,,0.826923077,,128,148,9,43,0.13
RF,400,9,side_effect_1,1,0.762710379,,0.846153846,,0.592592593,,0.516129032,,254,22,30,32,0.42
RF,400,9,side_effect_1,2,0.741697995,,0.775147929,,0.478723404,,0.625,,217,49,27,45,0.23
RF,400,9,side_effect_1,3,0.781082866,0.754510645,0.738255034,0.709394932,0.432989691,0.365136063,0.646153846,0.699408295,178,55,23,42,0.21
RF,400,9,side_effect_1,4,0.720363704,0.037281135,0.649859944,0.065664816,0.263157895,0.076232863,0.754716981,0.10267012,192,112,13,40,0.18
LR,400,0,side_effect_1,0,0.763296506,,0.568862275,,0.265957447,,0.892857143,,140,138,6,50,0.07
LR,400,0,side_effect_1,1,0.691007488,,0.640718563,,0.244755245,,0.744680851,,179,108,12,35,0.15
LR,400,0,side_effect_1,2,0.788583639,,0.72555205,,0.411290323,,0.784615385,,179,73,14,51,0.2
LR,400,0,side_effect_1,3,0.753950104,,0.652694611,,0.365384615,,0.77027027,,161,99,17,57,0.14
LR,400,0,side_effect_1,4,0.706428406,,0.814705882,,0.490909091,,0.435483871,,250,28,35,27,0.28
LR,400,1,side_effect_1,0,0.723443223,,0.793846154,,0.4,,0.576923077,,228,45,22,30,0.28
LR,400,1,side_effect_1,1,0.724388346,,0.753205128,,0.302325581,,0.604651163,,209,60,17,26,0.24
LR,400,1,side_effect_1,2,0.678720504,,0.582172702,,0.331578947,,0.73255814,,146,127,23,63,0.11
LR,400,1,side_effect_1,3,0.706134774,,0.693939394,,0.243243243,,0.613636364,,202,84,17,27,0.22
LR,400,1,side_effect_1,4,0.729442839,,0.627627628,,0.365269461,,0.772151899,,148,106,18,61,0.15
LR,400,2,side_effect_1,0,0.785928489,,0.676217765,,0.324503311,,0.816666667,,187,102,11,49,0.19
LR,400,2,side_effect_1,1,0.749522901,,0.726993865,,0.38317757,,0.640625,,196,66,23,41,0.28
LR,400,2,side_effect_1,2,0.678769841,,0.434131737,,0.212765957,,0.925925926,,95,185,4,50,0.05
LR,400,2,side_effect_1,3,0.696507937,,0.661341853,,0.330708661,,0.666666667,,165,85,21,42,0.15
LR,400,2,side_effect_1,4,0.779168115,,0.694362018,,0.355072464,,0.777777778,,185,89,14,49,0.14
LR,400,3,side_effect_1,0,0.702752846,,0.675595238,,0.382352941,,0.675324675,,175,84,25,52,0.18
LR,400,3,side_effect_1,1,0.752066116,,0.615151515,,0.28313253,,0.854545455,,156,119,8,47,0.1
LR,400,3,side_effect_1,2,0.671744792,,0.686708861,,0.310679612,,0.533333333,,185,71,28,32,0.24
LR,400,3,side_effect_1,3,0.69754206,,0.551515152,,0.267015707,,0.86440678,,131,140,8,51,0.18
LR,400,3,side_effect_1,4,0.745539725,,0.838616715,,0.471698113,,0.471698113,,266,28,28,25,0.25
LR,400,4,side_effect_1,0,0.789074074,,0.758928571,,0.258064516,,0.666666667,,231,69,12,24,0.22
LR,400,4,side_effect_1,1,0.748937865,,0.723076923,,0.353448276,,0.732142857,,194,75,15,41,0.17
LR,400,4,side_effect_1,2,0.686235423,,0.732732733,,0.443181818,,0.493670886,,205,49,40,39,0.2
LR,400,4,side_effect_1,3,0.722801788,,0.693548387,,0.378151261,,0.681818182,,170,74,21,45,0.18
LR,400,4,side_effect_1,4,0.747927032,,0.692957746,,0.35,,0.731343284,,197,91,18,49,0.25
LR,400,5,side_effect_1,0,0.686065173,,0.807228916,,0.377358491,,0.392156863,,248,33,31,20,0.41
LR,400,5,side_effect_1,1,0.622937063,,0.605504587,,0.234482759,,0.653846154,,164,111,18,34,0.2
LR,400,5,side_effect_1,2,0.731809701,,0.736842105,,0.408163265,,0.597014925,,198,58,27,40,0.24
LR,400,5,side_effect_1,3,0.757860351,,0.718654434,,0.446280992,,0.683544304,,181,67,25,54,0.25
LR,400,5,side_effect_1,4,0.834884438,,0.782857143,,0.396039604,,0.727272727,,234,61,15,40,0.21
LR,400,6,side_effect_1,0,0.712248996,,0.715210356,,0.365384615,,0.633333333,,183,66,22,38,0.18
LR,400,6,side_effect_1,1,0.734676932,,0.672839506,,0.266129032,,0.6875,,185,91,15,33,0.17
LR,400,6,side_effect_1,2,0.719981238,,0.737463127,,0.323809524,,0.653846154,,216,71,18,34,0.21
LR,400,6,side_effect_1,3,0.721658467,,0.551020408,,0.304761905,,0.888888889,,125,146,8,64,0.06
