model,data_num,iter,side_effect,test_fold,auc,tn,fp,fn,tp,cutoff point
RF,400,0,side_effect_4,0,0.8531525726182214,202,60,14,63,0.2
RF,400,0,side_effect_4,1,0.7713045634920634,188,52,30,54,0.28
RF,400,0,side_effect_4,2,0.7171991506592268,204,59,31,46,0.29
RF,400,0,side_effect_4,3,0.7128472222222222,199,65,23,37,0.3
RF,400,0,side_effect_4,4,0.7605193375694201,161,92,15,64,0.22
RF,400,1,side_effect_4,0,0.7881933842239185,225,37,27,48,0.35
RF,400,1,side_effect_4,1,0.7403349546206689,194,65,27,50,0.27
RF,400,1,side_effect_4,2,0.7769689987431921,165,83,17,60,0.27
RF,400,1,side_effect_4,3,0.784775184974388,154,97,11,59,0.25
RF,400,1,side_effect_4,4,0.760153650420826,167,95,18,60,0.23
RF,400,2,side_effect_4,0,0.7703438539881012,171,40,31,63,0.27
RF,400,2,side_effect_4,1,0.7932548794489093,204,56,22,45,0.32
RF,400,2,side_effect_4,2,0.7536675410473137,228,54,26,47,0.29
RF,400,2,side_effect_4,3,0.7356096284667714,201,72,23,47,0.24
RF,400,2,side_effect_4,4,0.7328232020547945,136,120,13,60,0.22
RF,400,3,side_effect_4,0,0.8249716553287981,202,50,23,61,0.28
RF,400,3,side_effect_4,1,0.7221817992827816,169,102,19,52,0.22
RF,400,3,side_effect_4,2,0.7715263157894736,147,103,16,60,0.17
RF,400,3,side_effect_4,3,0.7810739238224025,206,55,20,48,0.3
RF,400,3,side_effect_4,4,0.7608302315963605,189,59,26,52,0.25
RF,400,4,side_effect_4,0,0.7712309160305344,194,68,21,43,0.26
RF,400,4,side_effect_4,1,0.7158208955223881,219,49,35,40,0.28
RF,400,4,side_effect_4,2,0.797711855826668,189,49,26,57,0.31
RF,400,4,side_effect_4,3,0.7255756762799015,141,111,13,58,0.2
RF,400,4,side_effect_4,4,0.7290076335877863,208,54,34,50,0.29
RF,400,5,side_effect_4,0,0.8328528940745824,173,62,20,73,0.26
RF,400,5,side_effect_4,1,0.7854836189384864,176,87,12,61,0.23
RF,400,5,side_effect_4,2,0.7276084130922841,177,96,14,48,0.22
RF,400,5,side_effect_4,3,0.7784382284382285,157,107,13,52,0.16
RF,400,5,side_effect_4,4,0.720623674571043,187,60,31,53,0.29
RF,400,6,side_effect_4,0,0.7729382716049382,208,42,33,48,0.33
RF,400,6,side_effect_4,1,0.763432678080744,145,104,15,80,0.19
RF,400,6,side_effect_4,2,0.7777320012359666,208,58,24,49,0.28
RF,400,6,side_effect_4,3,0.7720092915214866,214,32,29,41,0.29
RF,400,6,side_effect_4,4,0.732885863341392,219,52,26,32,0.29
RF,400,7,side_effect_4,0,0.7609315823127243,175,76,23,58,0.28
RF,400,7,side_effect_4,1,0.7689909297052153,170,82,16,47,0.21
RF,400,7,side_effect_4,2,0.7951177453252141,191,50,24,53,0.26
RF,400,7,side_effect_4,3,0.7739260739260739,195,65,25,52,0.3
RF,400,7,side_effect_4,4,0.7879063837537565,219,59,25,54,0.36
RF,400,8,side_effect_4,0,0.7713340299547196,204,57,23,43,0.3
RF,400,8,side_effect_4,1,0.8075526119004379,197,56,20,54,0.26
RF,400,8,side_effect_4,2,0.7414074904268235,174,84,25,58,0.23
RF,400,8,side_effect_4,3,0.7932425862907146,171,71,20,65,0.27
RF,400,8,side_effect_4,4,0.724718797317759,225,43,33,36,0.37
RF,400,9,side_effect_4,0,0.7845628955696202,209,47,25,54,0.32
RF,400,9,side_effect_4,1,0.7869956458635704,180,85,16,49,0.22
RF,400,9,side_effect_4,2,0.6778481012658227,162,75,33,47,0.24
RF,400,9,side_effect_4,3,0.694409701451955,181,78,27,44,0.24
RF,400,9,side_effect_4,4,0.7373216751035435,233,32,44,38,0.33
LR,400,0,side_effect_4,0,0.7016539440203562,192,70,26,40,0.25
LR,400,0,side_effect_4,1,0.7777049180327869,190,54,24,51,0.18
LR,400,0,side_effect_4,2,0.7174411933448077,207,42,34,50,0.23
LR,400,0,side_effect_4,3,0.7715419501133787,159,93,17,60,0.2
LR,400,0,side_effect_4,4,0.6585212121212121,209,66,37,38,0.26
LR,400,1,side_effect_4,0,0.77265625,177,79,19,66,0.18
LR,400,1,side_effect_4,1,0.7589932126696833,240,32,30,35,0.37
LR,400,1,side_effect_4,2,0.7036068431949438,210,56,31,38,0.25
LR,400,1,side_effect_4,3,0.7361729179910999,110,132,8,57,0.11
LR,400,1,side_effect_4,4,0.7909782323629688,205,41,34,59,0.28
LR,400,2,side_effect_4,0,0.6894316076825583,145,118,21,57,0.15
LR,400,2,side_effect_4,1,0.7027647469807365,188,45,43,43,0.24
LR,400,2,side_effect_4,2,0.7464090287277703,232,26,33,35,0.43
LR,400,2,side_effect_4,3,0.7745238095238095,182,58,23,47,0.21
LR,400,2,side_effect_4,4,0.7708796296296296,243,45,30,45,0.34
LR,400,3,side_effect_4,0,0.590084388185654,142,95,33,47,0.21
LR,400,3,side_effect_4,1,0.7340517489771221,154,105,13,54,0.14
LR,400,3,side_effect_4,2,0.7529876591385787,173,74,24,59,0.2
LR,400,3,side_effect_4,3,0.7426754248774892,216,62,27,42,0.25
LR,400,3,side_effect_4,4,0.7434915021121917,221,40,35,43,0.29
LR,400,4,side_effect_4,0,0.6880090275733489,167,70,34,52,0.19
LR,400,4,side_effect_4,1,0.7331433998100665,176,58,35,55,0.24
LR,400,4,side_effect_4,2,0.7531262605889472,191,68,21,46,0.21
LR,400,4,side_effect_4,3,0.8108648255813953,193,65,12,52,0.21
LR,400,4,side_effect_4,4,0.7628279883381924,238,56,26,44,0.2
LR,400,5,side_effect_4,0,0.6995939813709099,221,44,38,41,0.29
LR,400,5,side_effect_4,1,0.7038961038961039,176,55,30,45,0.23
LR,400,5,side_effect_4,2,0.7356987003130632,210,44,36,47,0.26
LR,400,5,side_effect_4,3,0.7265260821309656,183,82,22,46,0.18
LR,400,5,side_effect_4,4,0.7484394506866416,193,74,22,50,0.2
LR,400,6,side_effect_4,0,0.689935064935065,147,91,28,60,0.22
LR,400,6,side_effect_4,1,0.7452411994784875,207,53,25,34,0.23
LR,400,6,side_effect_4,2,0.7317608861726509,158,80,26,62,0.21
LR,400,6,side_effect_4,3,0.7614583333333332,214,66,21,51,0.19
LR,400,6,side_effect_4,4,0.7510741138560687,213,53,28,42,0.23
LR,400,7,side_effect_4,0,0.7027148418005789,99,134,10,76,0.17
LR,400,7,side_effect_4,1,0.7419261822376009,152,103,16,52,0.17
LR,400,7,side_effect_4,2,0.7806273426711382,215,59,24,50,0.24
LR,400,7,side_effect_4,3,0.7454852320675105,147,90,16,59,0.11
LR,400,7,side_effect_4,4,0.6889026836023302,194,89,28,46,0.2
LR,400,8,side_effect_4,0,0.82687338501292,226,32,18,48,0.24
LR,400,8,side_effect_4,1,0.7581954887218044,198,68,26,49,0.23
LR,400,8,side_effect_4,2,0.7701675059089508,218,45,31,43,0.31
LR,400,8,side_effect_4,3,0.6381847475832438,114,152,14,56,0.11
LR,400,8,side_effect_4,4,0.7137839377254604,195,34,50,42,0.27
LR,400,9,side_effect_4,0,0.6916011837942647,180,59,37,45,0.22
LR,400,9,side_effect_4,1,0.6829237071172555,194,58,30,32,0.22
LR,400,9,side_effect_4,2,0.7446043165467626,209,69,18,37,0.24
LR,400,9,side_effect_4,3,0.7738850696280627,160,84,19,74,0.15
LR,400,9,side_effect_4,4,0.6754865514979226,199,70,37,48,0.24
Adaboost,400,0,side_effect_4,0,0.6878193812134163,171,58,42,52,0.49
Adaboost,400,0,side_effect_4,1,0.6826433888502115,187,76,33,38,0.49
