rnn,i,side_effect_name,j,eval_info_g,auc_g,tn_g,fp_g,fn_g,tp_g,optimal_cut_g,eval_info_1,auc_1,tn_1,fp_1,fn_1,tp_1,optimal_cut_1,eval_info_2,auc_2,tn_2,fp_2,fn_2,tp_2,optimal_cut_2,eval_info_3,auc_3,tn_3,fp_3,fn_3,tp_3,optimal_cut_3,eval_info_4,auc_4,tn_4,fp_4,fn_4,tp_4,optimal_cut_4
rnn,0,side_effect_1,0,general,0.7368298368298368,209,55,21,44,0.16,visit 1,0.7528571428571429,41,29,1,9,0.12,visit 2,0.7437275985663082,51,11,6,12,0.16,visit 3,0.7880859375,53,11,4,12,0.15,visit 4,0.7292307692307692,55,10,5,10,0.2
rnn,0,side_effect_1,1,general,0.6827150344260611,165,98,24,50,0.11,visit 1,0.7957839262187089,65,4,5,6,0.25,visit 2,0.5668679896462467,59,2,15,4,0.4,visit 3,0.8153846153846154,38,27,1,14,0.11,visit 4,0.6149999999999999,39,21,9,11,0.15
rnn,0,side_effect_1,2,general,0.6646613190730837,235,29,31,20,0.25,visit 1,0.7071428571428571,63,7,5,5,0.22,visit 2,0.6509009009009009,47,27,2,4,0.16,visit 3,0.6360505166475315,48,19,6,7,0.17,visit 4,0.5798319327731092,26,37,3,14,0.07
rnn,0,side_effect_1,3,general,0.703784931022285,230,27,32,23,0.24,visit 1,0.812133072407045,29,44,0,7,0.12,visit 2,0.6772068511198946,64,5,5,6,0.26,visit 3,0.7202380952380952,45,11,10,14,0.16,visit 4,0.5039123630672926,14,57,0,9,0.09
rnn,0,side_effect_1,4,general,0.7416220394192017,267,40,25,34,0.22,visit 1,0.7184343434343434,59,13,5,6,0.18,visit 2,0.7715686274509804,63,5,7,8,0.25,visit 3,0.9330808080808082,62,10,1,10,0.2,visit 4,0.6844919786096256,60,6,8,9,0.29
rnn,0,side_effect_2,0,general,0.4789858605558264,247,46,26,9,0.15,visit 1,0.6868884540117417,51,22,2,5,0.15,visit 2,0.6000000000000001,61,9,6,4,0.15,visit 3,0.3960964408725603,0,67,0,13,0.0,visit 4,0.2993421052631579,0,76,0,4,0.0
rnn,0,side_effect_2,1,general,0.5469161834475487,137,134,17,25,0.13,visit 1,0.563719862227325,63,4,12,1,0.15,visit 2,0.39591567852437415,4,65,0,11,0.08,visit 3,0.4911937377690802,6,67,0,7,0.12,visit 4,0.2560763888888889,4,68,0,8,0.1
rnn,0,side_effect_2,2,general,0.5244177963156065,58,216,6,36,0.08,visit 1,0.6385714285714286,50,20,5,5,0.15,visit 2,0.5023474178403755,65,6,7,2,0.16,visit 3,0.607843137254902,25,43,1,11,0.04,visit 4,0.5805946791862284,18,53,0,9,0.02
rnn,0,side_effect_2,3,general,0.422237860661506,0,290,0,49,0.0,visit 1,0.4491341991341991,11,55,2,12,0.07,visit 2,0.5382882882882882,35,39,1,5,0.14,visit 3,0.2622549019607843,0,68,0,12,0.0,visit 4,0.2598039215686274,0,68,0,12,0.0
rnn,0,side_effect_2,4,general,0.6831919406150584,184,138,13,28,0.12,visit 1,0.6599378881987578,54,15,8,6,0.14,visit 2,0.6835616438356165,20,53,0,10,0.11,visit 3,0.6066666666666667,27,48,1,7,0.1,visit 4,0.5833333333333334,63,12,5,3,0.16
rnn,0,side_effect_3,0,general,0.7103587962962963,185,31,55,57,0.39,visit 1,0.5691964285714286,28,28,8,16,0.29,visit 2,0.7621818181818182,46,9,9,16,0.4,visit 3,0.7008547008547008,43,11,9,17,0.36,visit 4,0.5906593406593407,15,37,1,27,0.11
rnn,0,side_effect_3,1,general,0.7302285400141365,123,91,23,96,0.26,visit 1,0.6518375241779498,28,19,9,24,0.29,visit 2,0.7647058823529411,32,14,5,29,0.26,visit 3,0.7398932112890924,41,16,7,16,0.34,visit 4,0.609717868338558,38,20,9,13,0.34
rnn,0,side_effect_3,2,general,0.6290613011821812,201,40,58,48,0.39,visit 1,0.6037087912087912,42,10,13,15,0.27,visit 2,0.7054075867635189,48,11,8,13,0.39,visit 3,0.5851493139628733,55,4,15,6,0.59,visit 4,0.645,47,13,8,12,0.39
rnn,0,side_effect_3,3,general,0.6898365501651886,148,65,44,64,0.34,visit 1,0.6298533218291631,49,12,10,9,0.35,visit 2,0.6575821104122991,27,26,6,21,0.29,visit 3,0.5789835164835165,27,25,9,19,0.33,visit 4,0.5127272727272727,14,41,1,24,0.18
rnn,0,side_effect_3,4,general,0.6487068965517241,169,63,47,51,0.39,visit 1,0.5674603174603174,40,16,15,12,0.39,visit 2,0.6504237288135594,46,13,12,12,0.46,visit 3,0.48119658119658115,38,27,8,10,0.4,visit 4,0.47697368421052627,24,40,3,16,0.19
